profile_id,bass,tilt,presence,air,g_20,g_30,g_40,g_50,g_60,g_80,g_100,g_150,g_200,g_300,g_400,g_600,g_800,g_1200,g_2000,g_3000,g_4000,g_6000,g_8000,g_10000,g_12000,g_14000,g_16000
0,0.2437736638035451,-0.8319872849923965,0.6003609566451659,0.7524517731129712,7.212542730615443,6.794881286563472,6.63597127562519,6.533541535297561,6.406859909170753,6.025717900857407,5.537545282995733,4.336715003613723,3.4404341668594314,2.3540658915995745,1.7211434830496717,0.9493860131497628,0.48544515666089033,0.13856800037174563,0.4912306050763028,0.4278493635654632,-0.3710155022317073,-1.5520014839023775,-1.5231548483212256,-1.285184813021956,-1.422735324182777,-1.9355745838109737,-2.6333565012090254
1,-1.5608281509230693,-1.0417436054898546,0.1022723225338283,-0.2529940738748658,7.921465998633464,4.988233438148031,2.027167133223922,-0.4029869701325417,-2.113309328758995,-3.6514739462906007,-3.611802829502215,-1.5305804100664924,0.22958289990466016,1.5784354335176178,1.657640705585547,1.0872797020002523,0.5024607189271486,-0.334134499357786,-1.2711438647512658,-2.0798676171681887,-2.817959156158442,-4.142691247875737,-5.268293627802729,-6.10309197122804,-6.623454050949332,-6.910190732161545,-7.065521746855689
2,-0.013440926003431037,-0.6824351420588641,0.7035183798902629,0.6222335483431587,5.78919288466681,5.170977775078305,4.724769957253818,4.377515758899567,4.096158779438306,3.6622041467656925,3.336218618306387,2.7611850910371447,2.355635380231612,1.7743849774838902,1.3552976483484258,0.7744651443210046,0.424072342656483,0.27791864803597843,1.015808704587394,1.1953132189741653,0.4148340797642953,-0.9369696275628211,-1.1073324001102614,-0.9857745188660667,-1.126882113705153,-1.5605588638866545,-2.14057625737419
3,0.05282455804897284,0.9017929655744263,0.3740074738016365,-0.6874339703065906,-7.629189175392639,-6.7669697465889005,-6.125435894085328,-5.623309724526169,-5.2223585876757355,-4.62898131968879,-4.210443740757139,-3.5179331350602383,-3.0361833434384584,-2.318838188872359,-1.7796943725291474,-0.9882923367137851,-0.38669957323823045,0.6484604733145533,2.443074552333777,3.6371211911238612,3.9059388548404086,3.4161697544849154,2.597534620709112,2.101592476466214,2.151628536972182,2.61655805482079,3.2746040588073813
4,0.29500062726599907,-0.7671060806631992,0.702760241045818,-0.03994072878900232,6.691843599221993,6.39747384347217,6.354919478184669,6.3471195282489274,6.288721996233659,5.977235468211677,5.502632053684994,4.260517186101635,3.3256397265637023,2.2220370415592674,1.6058288315572868,0.8823766996727122,0.468143622861988,0.24407876118655092,0.8859404112394992,0.9804336545964324,0.07842037789855955,-1.9217716985516478,-3.1315214373088263,-3.813741172465435,-4.232527373174606,-4.517499871076894,-4.732043907674218
5,-0.14788989083620846,-0.5447436355231531,0.9780330709392242,-0.12362358565504172,4.539587614444385,3.8689446479830725,3.309744119582171,2.863357312534567,2.5247136924008067,2.1003343966515122,1.8879657823895553,1.692447096621699,1.5805896936290564,1.3158021333817274,1.0459648487885183,0.6226829064338257,0.3924808648370128,0.5461860427941707,2.0198807374274756,2.6107483254494075,1.6749302453784292,-0.7075088332817211,-2.1659416762723636,-2.9404478912911216,-3.34137621792213,-3.5447738119078096,-3.651679756762275
6,-0.3426622577304858,-0.2817068403905837,0.425847348442679,0.2923552514912627,2.189327664487783,1.4987019725928523,0.8155220738153971,0.25632611276144024,-0.14014043246141059,-0.5109382765833957,-0.5279119013577034,-0.11767038542387327,0.23564351710848053,0.4851530550477495,0.46996993677405074,0.30786612705703365,0.18962538566932222,0.21994457727027467,0.8125873315563243,1.035698894248317,0.636543115162864,-0.13926760427433416,-0.28598357298470156,-0.2458721043534826,-0.3103654662961437,-0.5063665902443275,-0.7697180804953375
7,0.3301860892767907,0.3446568024063062,1.713318080696369,-0.32513201310769246,-2.7314958511518723,-2.001560145346077,-1.297522690387234,-0.7232144394702446,-0.3122000334912879,0.09082904765917024,0.14265701881115989,-0.18819222133060154,-0.482905251905483,-0.6586030959499518,-0.595401502678176,-0.3232577905492682,0.06415501215219564,1.4715880099301863,5.4934995937531035,7.670648790040071,6.831393031144894,3.7071821909500073,1.8018772098361695,0.9493929913046306,0.7212556953285967,0.8287638491735971,1.0820704901986147
8,-0.4097941832572299,-0.6510181825983022,0.49278353806039654,0.9031778341767134,5.286658871034592,4.1841606275418135,3.170907403959902,2.3499502640439704,1.7514482392321178,1.111776716183648,0.9392702136612615,1.1533131635961082,1.3796161142784702,1.4014355236389826,1.1870261544551899,0.7161941444065297,0.3767901821413644,0.1258228807136163,0.4512885563327376,0.43150356946912805,-0.17449895662213982,-0.8677284753608447,-0.39840310654135136,0.14142826139813325,0.14648640821795045,-0.3401161024602035,-1.0718050462592994
9,-0.09115796612390006,-0.6721251815700224,-0.6595849725529916,0.5204742302597609,5.655404684542656,4.945884867177595,4.391082953680656,3.952955715870535,3.6110557594391746,3.139356411531463,2.8454758308394057,2.4288181148028545,2.149751366136105,1.6902355027537685,1.312106465767717,0.72445084012776,0.23705460637077932,-0.7800607426175955,-2.9266613954229936,-4.234019324713847,-4.20666520114725,-3.1354727305806533,-2.1496113068325515,-1.627293186008681,-1.6072119798119315,-1.9348377463686592,-2.4215983989390457
10,0.5946033369627538,0.434523414644156,-0.5324077658309555,0.18572905845337584,-3.337690085685555,-2.1870997472468834,-1.0355399218688466,-0.09151191966322893,0.5749545078264241,1.1844545997120748,1.187593422528225,0.42790828299908257,-0.21910319619679136,-0.6998523877418849,-0.7071551915324398,-0.4686729032865122,-0.2752715602459531,-0.24224122708416368,-0.8918146439200435,-1.0902644152062713,-0.48228254098541257,1.0390067905105953,2.0956931700031594,2.72063991513174,3.037207981590428,3.1624604785140975,3.1909116298408273
11,0.09334864731258258,0.17495087738321036,0.697143022358552,0.17887643901974581,-1.4306810673047439,-1.1560719317986163,-0.9086090783947227,-0.708685342523707,-0.5617981536557454,-0.39943496203407997,-0.3472243761230552,-0.3725153148549477,-0.40741396007167485,-0.3888140210856804,-0.32224077048274424,-0.1718981573743667,0.008867054607019023,0.6124902672229463,2.2876389495223326,3.2085984574201856,2.92126025193914,1.9509065321363668,1.6612456598873038,1.6897608687469448,1.725461023018983,1.6976460778873608,1.6275066107212566
